"Corpus","Source","Name","CA","Sex","Utterance"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","um"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","tose"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","no"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","yyy"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","yyy"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","nana"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","ba ball"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","oh"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","mm"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","socks"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","polo Po"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","pillow"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","ball"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","tose"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","tose"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","ah clothes"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","clothes"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","clothes"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","want a Polo"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","oh"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","pose"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","yyy"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","toast"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","want a Polo"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","big bow"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","no no no no no no no"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","no"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","me"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","me"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","mark"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","mia"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","yyy"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","yyy"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","woof"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","yyy"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","moo"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","low"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","low"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","yyy"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","hah"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","lalala"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","lalala"
"wells","../XML/UK/Wells_Benjamin/benjam02.xml.gz","Benjamin","1.47423","F","yeah"
