"Corpus","Source","Name","CA","Sex","Utterance"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","what man this"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","what bump head"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","he there"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","move"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","round there"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","I want"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","a man and a daddy"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","what is a this"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","what is this"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","what this"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","what is this"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","what bump my head"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","bump"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","bump"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","there go bump"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","bump"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","head"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","bump"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","bump"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","bump"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","bump"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","a head"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","oh dear"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","oh dear"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","man on there"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","man and a bridge"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","all down"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","oh dear"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","oh dear"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","oh dear"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","oh dear"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","all right"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","whoops"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","stick"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","Teddy"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","go"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","right"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","right"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","on it"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","there you are"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","oh that way that"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","all under"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","and a bridge"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","that is finished"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","that finished"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","whoops"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","my cars"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","cars in there brum brum brum"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","what they doing"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","what they doing"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","what you doing"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","there the bus"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","there the door"
"manchester","../XML/UK/Manchester_Carl/carl01a.xml.gz","Carl","1.72697","M","that way"
