"Corpus","Source","Name","CA","Sex","Utterance"
"Forrester","../XML/UK/Forrester_Ella/052.xml.gz","Ella","1.04167","F","hhh"
"Forrester","../XML/UK/Forrester_Ella/052.xml.gz","Ella","1.04167","F","hhh"
"Forrester","../XML/UK/Forrester_Ella/052.xml.gz","Ella","1.04167","F","hhh hhh"
"Forrester","../XML/UK/Forrester_Ella/052.xml.gz","Ella","1.04167","F","eyhe"
"Forrester","../XML/UK/Forrester_Ella/052.xml.gz","Ella","1.04167","F","ammn"
"Forrester","../XML/UK/Forrester_Ella/052.xml.gz","Ella","1.04167","F","hhh"
"Forrester","../XML/UK/Forrester_Ella/052.xml.gz","Ella","1.04167","F","a"
"Forrester","../XML/UK/Forrester_Ella/052.xml.gz","Ella","1.04167","F","hhh"
"Forrester","../XML/UK/Forrester_Ella/052.xml.gz","Ella","1.04167","F","e"
"Forrester","../XML/UK/Forrester_Ella/052.xml.gz","Ella","1.04167","F","eh"
"Forrester","../XML/UK/Forrester_Ella/052.xml.gz","Ella","1.04167","F","hhh hhh hhh hh hhh"
"Forrester","../XML/UK/Forrester_Ella/052.xml.gz","Ella","1.04167","F","amna"
"Forrester","../XML/UK/Forrester_Ella/052.xml.gz","Ella","1.04167","F","amna"
"Forrester","../XML/UK/Forrester_Ella/052.xml.gz","Ella","1.04167","F","umna"
"Forrester","../XML/UK/Forrester_Ella/052.xml.gz","Ella","1.04167","F","hm"
"Forrester","../XML/UK/Forrester_Ella/052.xml.gz","Ella","1.04167","F","hhh"
"Forrester","../XML/UK/Forrester_Ella/052.xml.gz","Ella","1.04167","F","hhh"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","hhh"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","aw hhh"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","hhh"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","ehhe"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","eh"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","eh"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","e ehehehehe"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","w"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","wha"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","hm"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","hmm"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","hm"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","ema"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","m"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","hhh a"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","a"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","a"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","a"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","A"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","e"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","hhh hhh hhh"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","m"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","hhh"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","A"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","a"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","eh"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","a"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","aahhh"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","uh"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","hhh"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","h xxx xxx"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","emm"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","eye"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","e"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","ewa"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","ma"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","e"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","e"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","xxxxxxx"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","a"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","a"
"Forrester","../XML/UK/Forrester_Ella/053.xml.gz","Ella","1.04167","F","a"
