"Corpus","Source","Name","CA","Sex","Utterance"
"change_me_later","../XML/US/Nelson_Emily/811001.xml.gz","Emily","nan","F","heh uppie whoopy right in there"
"change_me_later","../XML/US/Nelson_Emily/811001.xml.gz","Emily","nan","F","to my pee xxx"
"change_me_later","../XML/US/Nelson_Emily/811001.xml.gz","Emily","nan","F","eh and xxx the xxx"
"change_me_later","../XML/US/Nelson_Emily/811001.xml.gz","Emily","nan","F","xxx"
"change_me_later","../XML/US/Nelson_Emily/811001.xml.gz","Emily","nan","F","where Mommy go"
"change_me_later","../XML/US/Nelson_Emily/811101.xml.gz","Emily","nan","F","no no no no"
"change_me_later","../XML/US/Nelson_Emily/811101.xml.gz","Emily","nan","F","I want it"
"change_me_later","../XML/US/Nelson_Emily/811101.xml.gz","Emily","nan","F","is this going in back"
"change_me_later","../XML/US/Nelson_Emily/811101.xml.gz","Emily","nan","F","this going in back xxx"
"change_me_later","../XML/US/Nelson_Emily/811101.xml.gz","Emily","nan","F","what mommy doing"
"change_me_later","../XML/US/Nelson_Emily/811101.xml.gz","Emily","nan","F","xxx"
"change_me_later","../XML/US/Nelson_Emily/811101.xml.gz","Emily","nan","F","I go nap"
"change_me_later","../XML/US/Nelson_Emily/811101.xml.gz","Emily","nan","F","look at this"
"change_me_later","../XML/US/Nelson_Emily/811101.xml.gz","Emily","nan","F","I go go to sleep"
"change_me_later","../XML/US/Nelson_Emily/811115.xml.gz","Emily","nan","F","I want to get up"
"change_me_later","../XML/US/Nelson_Emily/811125.xml.gz","Emily","nan","F","ha ha ha"
"nelson","../XML/US/Nelson_Emily/811205.xml.gz","Emily","1.81579","F","xxx"
"nelson","../XML/US/Nelson_Emily/811205.xml.gz","Emily","1.81579","F","doctor late"
"nelson","../XML/US/Nelson_Emily/811205.xml.gz","Emily","1.81579","F","doctor dog"
"nelson","../XML/US/Nelson_Emily/811205.xml.gz","Emily","1.81579","F","go play though"
"nelson","../XML/US/Nelson_Emily/811205.xml.gz","Emily","1.81579","F","xxx cooking"
"nelson","../XML/US/Nelson_Emily/811205.xml.gz","Emily","1.81579","F","xxx"
"nelson","../XML/US/Nelson_Emily/811205.xml.gz","Emily","1.81579","F","xxx"
"nelson","../XML/US/Nelson_Emily/811205.xml.gz","Emily","1.81579","F","xxx"
"nelson","../XML/US/Nelson_Emily/811205.xml.gz","Emily","1.81579","F","xxx"
"nelson","../XML/US/Nelson_Emily/811205.xml.gz","Emily","1.81579","F","xxx"
"nelson","../XML/US/Nelson_Emily/811205.xml.gz","Emily","1.81579","F","oh this"
"nelson","../XML/US/Nelson_Emily/811205.xml.gz","Emily","1.81579","F","xxx"
"nelson","../XML/US/Nelson_Emily/811205.xml.gz","Emily","1.81579","F","xxx"
