"Corpus","Source","Name","CA","Sex","Utterance"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","more cookie"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","more cookie"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","more juice"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Fraser"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Fraser"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Fraser"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Fraser"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","yeah"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","xxx at"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","a fly"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","fly"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Mommy telephone"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","my telephone"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","xxx"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Mommy"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","no"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","man man"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","xxx"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","more cookie"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","block broke"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","there"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","I did it"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","there"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","there Fraser"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","xxx"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","xxx"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","baby"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Mommy read"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","a stool"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Fraser"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Fraser"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","more cookie"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","more cookie"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","little little"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","milk"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","milk milk"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","that"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Fraser water"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","oh Fraser"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","bye"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","xxx water"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Fraser water"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Fraser water"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","that"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","coffee"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","xxx Fraser coffee"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","down down"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","cookie"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Mommy"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Mommy"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","a fly"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","read the puzzle"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","read the puzzle"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","read the puzzle"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","read the puzzle"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","read read the puzzle"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Racketyboom"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","hat"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","xxx"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","m"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","water xxx"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","bottle"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","water"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","there"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Fraser hat"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","oh Fraser hat"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","oh oh Fraser hat"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Fraser hat"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","no"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","eye"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","that"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","xxx"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","xxx"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","that"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","soldier"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","soldier"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","that that"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Fraser hat"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Eve find it"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","that that"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","xxx man"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Eve"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","down"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","that"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","busy"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","busy"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","man a pencil"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","man a pencil"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","xxx man"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","pencil"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Eve pencil"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Eve pencil"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Eve pencil"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","man a pencil"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","pencil"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","man"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","xxx see ya"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","xxx read"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","read"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Clip_clop"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","shoe shoe"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","shoe"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","shoe shoe"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","my my"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Mommy book"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Racketyboom"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Racketyboom Racketyboom"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","read"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Racketyboom Racketyboom"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","read"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","read choo"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Mommy"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Mommy Mommy"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","choo choo"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","choo"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","choo"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","mi"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","xxx milk"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","cup"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","that"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","xxx top"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","that"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","xxx"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","xxx"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","there"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","quack quack"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","quack quack"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","that"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","that radio"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","xxx"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","hat"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","that"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","xxx"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","like the farm"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","cock_a_doodle_doo"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","book"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Racketyboom Racketyboom"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","yeah"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","why"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","xxx choo"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","stool stool"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","man stool"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","that"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","xxx"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","xxx"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Neil sit"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Neil sit"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Neil sit"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Neil sit"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Neil sit"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Neil sit"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","m"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","cup"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Neil sit"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","sit"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Neil Neil sit"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Mommy"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","get it"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","that"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","a stool"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","sit"
"brown","../XML/US/Brown_Eve/eve01.xml.gz","Eve","1.54167","F","Neil Neil sit"
