"Corpus","Source","Name","CA","Sex","Utterance"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","car"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","no"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","grr bow wow"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","we we we"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","oh"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","uh"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","ah"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","ch"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","xxx water"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","cold"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","oh kid kid tickle tickle tickle tickle tickle"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","yyy"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","mm"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","yyy"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","yyy"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","xxx"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","push"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","Tony Blackburn"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","oh"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","bebe"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","baby"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","baby"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","baby boobaba"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","bawa"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","plane"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","plane"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","bus"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","plane"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","branches"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","ba"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","xxx"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","xxx"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","bus"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","yyy"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","yyy"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","he"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","we we woo woo woo we"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","woof woof woof"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","da"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","da"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","da xxx"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","xxx"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","Dada"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","ba_ba_bu_bu_bu_bu_wa_bu_bu_ba_bu_bu_ba_bu_bu"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","mum Mum Mum Mum"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","mum Mum Mum Mum"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","yyy"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","xxx"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","yyy me"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","me me"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","me"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","me"
"wells","../XML/UK/Wells_Jack/jack02.xml.gz","Jack","1.48794","F","doddy"
