"Corpus","Source","Name","CA","Sex","Utterance"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","up"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","u"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","uh"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","mm"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","ini Mummy"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","ini"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","up"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","mm"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","mermerme"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","merme"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","ah"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","a"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","huh"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","huh"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","who sung"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","Hoosber"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","bah"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","a ye"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","uh"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","heh"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","Mama"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","hmm"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","m Ma"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","Mama"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","mm"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","up"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","diti"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","up"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","Mama"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","Ma"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","ta"
"wells","../XML/UK/Wells_Jason/jason02.xml.gz","Jason","1.54167","F","yow"
"wells","../XML/UK/Wells_Jason/jason03.xml.gz","Jason","1.79167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason03.xml.gz","Jason","1.79167","F","more"
"wells","../XML/UK/Wells_Jason/jason03.xml.gz","Jason","1.79167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason03.xml.gz","Jason","1.79167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason03.xml.gz","Jason","1.79167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason03.xml.gz","Jason","1.79167","F","mum Mum"
"wells","../XML/UK/Wells_Jason/jason03.xml.gz","Jason","1.79167","F","Mama"
"wells","../XML/UK/Wells_Jason/jason03.xml.gz","Jason","1.79167","F","Mum"
"wells","../XML/UK/Wells_Jason/jason03.xml.gz","Jason","1.79167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason03.xml.gz","Jason","1.79167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason03.xml.gz","Jason","1.79167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason03.xml.gz","Jason","1.79167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason03.xml.gz","Jason","1.79167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason03.xml.gz","Jason","1.79167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason03.xml.gz","Jason","1.79167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason03.xml.gz","Jason","1.79167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason03.xml.gz","Jason","1.79167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason03.xml.gz","Jason","1.79167","F","yyy"
"wells","../XML/UK/Wells_Jason/jason03.xml.gz","Jason","1.79167","F","yyy"
