"Corpus","Source","Name","CA","Sex","Utterance"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","a green"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","all colors"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","colors draw Daddy"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","no"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","on the paper draw"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","paper draw"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","this on paper"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","yellow"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","xxx"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","yellow there"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","coming"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","Mummy"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","xxx"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","yellow"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","do horsie"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","do horsie"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","do horsie"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","um"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","there Daddy jumper"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","Daddy"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","Daddy"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","Daddy"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","there a blue"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","green"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","no"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","coloring blue"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","coloring"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","Daddy Daddy"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","blue Daddy Daddy"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","a spider"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","blue spider"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","do another spider"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","the spider"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","spider"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","nice spider"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","color spider"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","there spider"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","there spider"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","there spider"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","a blue spider"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","a blue spider"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","making"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","spider"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","coming"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","xxx"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","sun"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","the sun out"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","here"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","white"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","white"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","there white"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","white"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","it's white"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","here you go"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","sun"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","sun"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","there spider"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","there other blue"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","Mummy's blue"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","Mummy's white"
"manchester","../XML/UK/Manchester_John/john01a.xml.gz","John","1.95779","M","a red there"
