"Corpus","Source","Name","CA","Sex","Utterance"
"wells","../XML/UK/Wells_Jonathan/jonath02.xml.gz","Jonathan","1.51371","F","why"
"wells","../XML/UK/Wells_Jonathan/jonath02.xml.gz","Jonathan","1.51371","F","bye bye"
"wells","../XML/UK/Wells_Jonathan/jonath02.xml.gz","Jonathan","1.51371","F","ta ta"
"wells","../XML/UK/Wells_Jonathan/jonath02.xml.gz","Jonathan","1.51371","F","burn"
"wells","../XML/UK/Wells_Jonathan/jonath02.xml.gz","Jonathan","1.51371","F","burn"
"wells","../XML/UK/Wells_Jonathan/jonath02.xml.gz","Jonathan","1.51371","F","sigh"
"wells","../XML/UK/Wells_Jonathan/jonath02.xml.gz","Jonathan","1.51371","F","sigh"
"wells","../XML/UK/Wells_Jonathan/jonath02.xml.gz","Jonathan","1.51371","F","there there"
"wells","../XML/UK/Wells_Jonathan/jonath02.xml.gz","Jonathan","1.51371","F","um"
"wells","../XML/UK/Wells_Jonathan/jonath02.xml.gz","Jonathan","1.51371","F","um xxx"
"wells","../XML/UK/Wells_Jonathan/jonath02.xml.gz","Jonathan","1.51371","F","xxx"
"wells","../XML/UK/Wells_Jonathan/jonath02.xml.gz","Jonathan","1.51371","F","there"
"wells","../XML/UK/Wells_Jonathan/jonath02.xml.gz","Jonathan","1.51371","F","min"
"wells","../XML/UK/Wells_Jonathan/jonath02.xml.gz","Jonathan","1.51371","F","xxx"
"wells","../XML/UK/Wells_Jonathan/jonath02.xml.gz","Jonathan","1.51371","F","xxx come Mum"
"wells","../XML/UK/Wells_Jonathan/jonath02.xml.gz","Jonathan","1.51371","F","me"
"wells","../XML/UK/Wells_Jonathan/jonath02.xml.gz","Jonathan","1.51371","F","a"
"wells","../XML/UK/Wells_Jonathan/jonath02.xml.gz","Jonathan","1.51371","F","dee"
"wells","../XML/UK/Wells_Jonathan/jonath02.xml.gz","Jonathan","1.51371","F","dee"
"wells","../XML/UK/Wells_Jonathan/jonath02.xml.gz","Jonathan","1.51371","F","bye"
"wells","../XML/UK/Wells_Jonathan/jonath02.xml.gz","Jonathan","1.51371","F","teeny"
"wells","../XML/UK/Wells_Jonathan/jonath02.xml.gz","Jonathan","1.51371","F","Deddy"
"wells","../XML/UK/Wells_Jonathan/jonath02.xml.gz","Jonathan","1.51371","F","there"
"wells","../XML/UK/Wells_Jonathan/jonath02.xml.gz","Jonathan","1.51371","F","there"
"wells","../XML/UK/Wells_Jonathan/jonath02.xml.gz","Jonathan","1.51371","F","Bambi"
"wells","../XML/UK/Wells_Jonathan/jonath02.xml.gz","Jonathan","1.51371","F","Bambi"
"wells","../XML/UK/Wells_Jonathan/jonath02.xml.gz","Jonathan","1.51371","F","dee"
"wells","../XML/UK/Wells_Jonathan/jonath02.xml.gz","Jonathan","1.51371","F","xxx"
"wells","../XML/UK/Wells_Jonathan/jonath02.xml.gz","Jonathan","1.51371","F","oo"
