"Corpus","Source","Name","CA","Sex","Utterance"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","uhh"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","uh"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","ehh"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","here"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","uh"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","huh"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","no"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","no"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","get"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","yeah"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","eh"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","no"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","no"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","no"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","n"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","xxx"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","xxx"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","Dad"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","Mummy"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","no"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","no"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","more"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","eye"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","nose"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","eye"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","maa"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","maa"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","bowwow"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","bowwow"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","no"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","uh uh"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","uhhuh"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","no"
"braunwald","../XML/US/Braunwald_Laura/1-05-09.xml.gz","Laura","1.41667","F","cup"
"braunwald","../XML/US/Braunwald_Laura/1-05-10.xml.gz","Laura","1.41667","F","um"
"braunwald","../XML/US/Braunwald_Laura/1-05-10.xml.gz","Laura","1.41667","F","be"
"braunwald","../XML/US/Braunwald_Laura/1-05-10.xml.gz","Laura","1.41667","F","Shower"
"braunwald","../XML/US/Braunwald_Laura/1-05-10.xml.gz","Laura","1.41667","F","Dwww"
"braunwald","../XML/US/Braunwald_Laura/1-05-10.xml.gz","Laura","1.41667","F","lo"
"braunwald","../XML/US/Braunwald_Laura/1-05-10.xml.gz","Laura","1.41667","F","lo"
