"Corpus","Source","Name","CA","Sex","Utterance"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","my baby"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","house"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","people"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","people"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","people"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","Liz pram"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","Liz pram"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","Liz pram"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","my book"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","my book"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","cow"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","cow"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","cow"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","yes"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","train"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","cow"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","cow"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","cow"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","cow"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","cow"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","doggie"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","houses"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","house"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","box"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","box"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","fly"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","fly"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","oh"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","yes"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","doggie"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","doggie"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","woof"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","tail"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","tail"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","tail"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","look"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","people"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","doggie"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","Liz junk"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","Liz junk"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","Liz junk"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","Liz junk"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","achoo"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","Mummy tea"
"manchester","../XML/UK/Manchester_Liz/liz01a.xml.gz","Liz","1.94134","F","white"
