"Corpus","Source","Name","CA","Sex","Utterance"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","doggy"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","daddy"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","baby"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","baby"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","baby"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","toothbrush"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","toothbrush"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","brush"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","comb"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","shoe"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","chair"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","pear"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","apple"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","daddy"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","piggy"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","lady"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","horse"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","told"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","puppy"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","water"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","chair"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","doggy"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","ball"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","bus"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","cot"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","duck"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","banana"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","mummie"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","comb"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","chair"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","apple"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","teddy"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","pram"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","doggy"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","stairs"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","ball"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","mug"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","ticktock"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","duck"
"cruttenden","../XML/UK/Cruttenden_Lucy/lucy01.xml.gz","Lucy","1.46327","F","cot"
