"Corpus","Source","Name","CA","Sex","Utterance"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","xxx Daddy Daddy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","Daddy yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","Daddy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","Daddy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","Tigger"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","Daddy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","xxx"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","down"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yeah"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","xxx"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","there"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","hello"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","xxx"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","xxx"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","Daddy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","Daddy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","Daddy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","Daddy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","Daddy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","Daddy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","Daddy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","Daddy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","Daddy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","xxx Daddy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","Daddy Daddy Daddy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","Daddy Daddy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","ˈmu"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","Daddy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","xxx"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","Daddy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","Daddy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","xxx"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","Daddy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","xxx"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","xxx Daddy Daddy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","Daddy Daddy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","Daddy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","Daddy Daddy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","Daddy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","Daddy Daddy Daddy Daddy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","eat"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","mic"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","hmmm"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","xxx"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","down"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","eat"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","xxx"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","down"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","down"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","down"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","down"
"providence","../XML/US/Providence_Naima/nai01.xml.gz","Naima","0.99342","F","yyy"
