"Corpus","Source","Name","CA","Sex","Utterance"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","ta"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","no"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","hmm"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","oh"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","him on there"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","there"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","up there"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","da"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","hmm"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","no"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","mum"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","uh"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","cat"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","na na"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","na"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","da"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","ah"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","no"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","no"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","no"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","uh"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","uh"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","ah no"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","ah no"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","ah no"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","na na na na"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","ah no"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","no"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","no"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","no"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","no"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","ah"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","bucket"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","no"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","more"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","ta ta"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","more"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","bye bye"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","yeah"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","I Dada there"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","awa"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","there"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","oo a"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","there"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","a"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","there"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","there"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","yyy"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","there"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","there"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","there"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","a"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","yeah"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","ah"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","a"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","ah"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","there"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","there"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","ooda"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","ah"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","shoo shoo"
"wells","../XML/UK/Wells_Neil/neil02.xml.gz","Neil","1.51096","F","adadadada"
"wells","../XML/UK/Wells_Neil/neil03.xml.gz","Neil","1.76371","F","car"
"wells","../XML/UK/Wells_Neil/neil03.xml.gz","Neil","1.76371","F","dad"
"wells","../XML/UK/Wells_Neil/neil03.xml.gz","Neil","1.76371","F","all gone"
"wells","../XML/UK/Wells_Neil/neil03.xml.gz","Neil","1.76371","F","there it goes da Daddy"
"wells","../XML/UK/Wells_Neil/neil03.xml.gz","Neil","1.76371","F","no"
"wells","../XML/UK/Wells_Neil/neil03.xml.gz","Neil","1.76371","F","please"
"wells","../XML/UK/Wells_Neil/neil03.xml.gz","Neil","1.76371","F","please"
"wells","../XML/UK/Wells_Neil/neil03.xml.gz","Neil","1.76371","F","please"
