"Corpus","Source","Name","CA","Sex","Utterance"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","xxx"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","xxx"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","xxx"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","um"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","screwdriver"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","uh"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","a screwdriver"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","all gone"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","be"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","yeah"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","xxx"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","uh"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","xxx"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","I see"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","do this"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","do do this"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","do this"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","uh conversation"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","uh"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","uh"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","um"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","huh huh huh"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","ding dong"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","oh"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","xxx"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","Mummie"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","do this"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","oh no"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","those"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","daddy"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","xxx"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","ah"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","no"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","xxx"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","there"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","oh"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","xxx"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","balloon oh"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","my"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","huh"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","not"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","ee dee da dee da"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","da da do it"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","no"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","xxx"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","do that"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","dodododo"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","dododo"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","you"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","dodo"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","dada"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","oh"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","do"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","touch"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","to"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","don't xxx you touch"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","touch"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","da"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","it up"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","there"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","disc"
"wells","../XML/UK/Wells_Neville/nevill02.xml.gz","Neville","1.4852","F","huh"
