"Corpus","Source","Name","CA","Sex","Utterance"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","there"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","yeah"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","Morag"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","yeah"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","pie"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","Coco"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","yeah"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","yeah"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","milk"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","yeah"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","yeah"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","spoon"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","no"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","xxx"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","Coco"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","Coco"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","no"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","pie"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","xxx"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","um juice"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","yeah"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","um cup"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","yeah"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","here"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","xxx"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","pie"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","xxx"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","cake"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","cake"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","um cake"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","xxx"
"manchester","../XML/UK/Manchester_Nicole/nic01a.xml.gz","Nicole","2.06853","F","egg"
