"Corpus","Source","Name","CA","Sex","Utterance"
"wells","../XML/UK/Wells_Penny/penny02.xml.gz","Penny","1.52467","F","tick"
"wells","../XML/UK/Wells_Penny/penny02.xml.gz","Penny","1.52467","F","xxx"
"wells","../XML/UK/Wells_Penny/penny02.xml.gz","Penny","1.52467","F","xxx"
"wells","../XML/UK/Wells_Penny/penny02.xml.gz","Penny","1.52467","F","cake"
"wells","../XML/UK/Wells_Penny/penny02.xml.gz","Penny","1.52467","F","xxx"
"wells","../XML/UK/Wells_Penny/penny02.xml.gz","Penny","1.52467","F","seesaw"
"wells","../XML/UK/Wells_Penny/penny02.xml.gz","Penny","1.52467","F","xxx"
"wells","../XML/UK/Wells_Penny/penny02.xml.gz","Penny","1.52467","F","seesaw"
"wells","../XML/UK/Wells_Penny/penny02.xml.gz","Penny","1.52467","F","xxx"
"wells","../XML/UK/Wells_Penny/penny02.xml.gz","Penny","1.52467","F","xxx Jason"
"wells","../XML/UK/Wells_Penny/penny02.xml.gz","Penny","1.52467","F","ah Jay_Jay"
"wells","../XML/UK/Wells_Penny/penny02.xml.gz","Penny","1.52467","F","xxx"
"wells","../XML/UK/Wells_Penny/penny02.xml.gz","Penny","1.52467","F","teetaw"
"wells","../XML/UK/Wells_Penny/penny02.xml.gz","Penny","1.52467","F","seesaw"
"wells","../XML/UK/Wells_Penny/penny02.xml.gz","Penny","1.52467","F","rose"
"wells","../XML/UK/Wells_Penny/penny02.xml.gz","Penny","1.52467","F","rose"
"wells","../XML/UK/Wells_Penny/penny02.xml.gz","Penny","1.52467","F","rose"
"wells","../XML/UK/Wells_Penny/penny02.xml.gz","Penny","1.52467","F","rose"
"wells","../XML/UK/Wells_Penny/penny02.xml.gz","Penny","1.52467","F","xxx"
"wells","../XML/UK/Wells_Penny/penny02.xml.gz","Penny","1.52467","F","xxx"
"wells","../XML/UK/Wells_Penny/penny02.xml.gz","Penny","1.52467","F","seesaw"
