"Corpus","Source","Name","CA","Sex","Utterance"
"wells","../XML/UK/Wells_Rosie/rosie02.xml.gz","Rosie","nan","F","look"
"wells","../XML/UK/Wells_Rosie/rosie02.xml.gz","Rosie","nan","F","yes"
"wells","../XML/UK/Wells_Rosie/rosie02.xml.gz","Rosie","nan","F","xxx"
"wells","../XML/UK/Wells_Rosie/rosie02.xml.gz","Rosie","nan","F","Ma"
"wells","../XML/UK/Wells_Rosie/rosie02.xml.gz","Rosie","nan","F","xxx"
"wells","../XML/UK/Wells_Rosie/rosie02.xml.gz","Rosie","nan","F","xxx"
"wells","../XML/UK/Wells_Rosie/rosie02.xml.gz","Rosie","nan","F","xxx"
"wells","../XML/UK/Wells_Rosie/rosie02.xml.gz","Rosie","nan","F","yes xxx"
"wells","../XML/UK/Wells_Rosie/rosie02.xml.gz","Rosie","nan","F","yyy"
"wells","../XML/UK/Wells_Rosie/rosie02.xml.gz","Rosie","nan","F","yyy"
"wells","../XML/UK/Wells_Rosie/rosie02.xml.gz","Rosie","nan","F","yyy"
"wells","../XML/UK/Wells_Rosie/rosie02.xml.gz","Rosie","nan","F","hey yyy"
"wells","../XML/UK/Wells_Rosie/rosie02.xml.gz","Rosie","nan","F","yyy"
"wells","../XML/UK/Wells_Rosie/rosie02.xml.gz","Rosie","nan","F","yyy"
"wells","../XML/UK/Wells_Rosie/rosie02.xml.gz","Rosie","nan","F","yyy"
"wells","../XML/UK/Wells_Rosie/rosie02.xml.gz","Rosie","nan","F","yyy yes"
"wells","../XML/UK/Wells_Rosie/rosie02.xml.gz","Rosie","nan","F","oh yyy"
"wells","../XML/UK/Wells_Rosie/rosie02.xml.gz","Rosie","nan","F","there yyy"
"wells","../XML/UK/Wells_Rosie/rosie02.xml.gz","Rosie","nan","F","there yyy"
"wells","../XML/UK/Wells_Rosie/rosie02.xml.gz","Rosie","nan","F","take one"
"wells","../XML/UK/Wells_Rosie/rosie02.xml.gz","Rosie","nan","F","what"
"wells","../XML/UK/Wells_Rosie/rosie02.xml.gz","Rosie","nan","F","yes"
"wells","../XML/UK/Wells_Rosie/rosie02.xml.gz","Rosie","nan","F","xxx"
"wells","../XML/UK/Wells_Rosie/rosie02.xml.gz","Rosie","nan","F","yyy"
"wells","../XML/UK/Wells_Rosie/rosie03.xml.gz","Rosie","1.80208","F","yyy"
"wells","../XML/UK/Wells_Rosie/rosie03.xml.gz","Rosie","1.80208","F","hands up Mummy yes"
"wells","../XML/UK/Wells_Rosie/rosie03.xml.gz","Rosie","1.80208","F","bang"
"wells","../XML/UK/Wells_Rosie/rosie03.xml.gz","Rosie","1.80208","F","tell"
"wells","../XML/UK/Wells_Rosie/rosie03.xml.gz","Rosie","1.80208","F","hello"
"wells","../XML/UK/Wells_Rosie/rosie03.xml.gz","Rosie","1.80208","F","Mummie"
"wells","../XML/UK/Wells_Rosie/rosie03.xml.gz","Rosie","1.80208","F","Mum"
"wells","../XML/UK/Wells_Rosie/rosie03.xml.gz","Rosie","1.80208","F","carol"
"wells","../XML/UK/Wells_Rosie/rosie03.xml.gz","Rosie","1.80208","F","xxx"
"wells","../XML/UK/Wells_Rosie/rosie04.xml.gz","Rosie","2.03564","F","yyy bath"
"wells","../XML/UK/Wells_Rosie/rosie04.xml.gz","Rosie","2.03564","F","here"
"wells","../XML/UK/Wells_Rosie/rosie04.xml.gz","Rosie","2.03564","F","he'll bite you"
"wells","../XML/UK/Wells_Rosie/rosie04.xml.gz","Rosie","2.03564","F","yes"
