"Corpus","Source","Name","CA","Sex","Utterance"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","xxx"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","xxx"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a nose"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a eye"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","hair"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a yyy"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","yyy yyy"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","tee"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a yyy"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a shoe"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a xxx"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a p pant"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","my pants"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","ear"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","ear"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a hair pin"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","xxx"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","xxx"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a bobby"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","nose"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","eyes"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a nose"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a nose"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","eye"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","nah"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","I dunno"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","xxx"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","xxx"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","xxx here"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","xxx"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","xxx"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","xxx"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","xxx"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","yyy"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","kik kiki"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a kiki"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a clock"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a light"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a floor"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","yyy"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","yyy"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a xxx"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a xxx door"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","door"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a sink"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a yyy Mummy a yyy"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","um"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","floor"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a door"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","xxx"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","xxx"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a cut"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a book"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a Bobo"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","no"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","da da da"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","bo bo bo bo"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","xxx"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a mommy"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","Daddy"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","yyy"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","um"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","uh baby"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","I don't know"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a shoe"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a chair"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","chew"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","um oh a a eye"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","um hat"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","xxx"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","eye"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","bear"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a eye she"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a yyy"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a bear"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","yyy"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a bear xxx"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","xxx"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","c"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","up dere"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","up dere"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","xxx"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","up dere"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","bike"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","ride bike"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","xxx"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","eat dere"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","eat dere Mommy"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","eat that"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","oh ballie xxx ball"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","xxx"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","Nana"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","about book"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a book"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a kitty"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","yyy"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a xxx eye"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","a teddy"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","eye eye"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","eye xxx"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","xxx"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","eye eye"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","b"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","eye eye"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","eye eye"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","b xxx"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","um Ma"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","bear"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","xxx"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","gi Mommy gi"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","dere"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","dere"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","dolly"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","see dolly"
"brown","../XML/US/Brown_Sarah/sarah001.xml.gz","Sarah","2.26371","F","see dolly"
