"Corpus","Source","Name","CA","Sex","Utterance"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","gee"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","badada"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","Dada"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","badada"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","badada"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","badada"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","baba"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","badada baba"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","ah"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","ah"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","da ba da du"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","madj"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","madj"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","ayii"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","ukitsh"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","matidi"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","ga ga xxx"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","ee"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","dadu dadu"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","bab"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","baeb"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","matsh"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","tatsh"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","di"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","baba"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","badada"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","badaba"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","baba"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","be"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","baba"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","Mama"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","baba"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","ah"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","daeda"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","dadadakakaka"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","Mama"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","Dada Dada"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","ee"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","madada"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","baba"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","baba baba baba"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","iyy badada"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","ah"
"feldman","../XML/US/Feldman_Steven/01-03.xml.gz","Steven","nan","F","bada dai"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","mamamamama"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","Mama"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","Mama"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","Mama"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","Dada"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","Mama"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","baba"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","Mama xxx mamaba"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","Mama Mama Mama"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","Mama"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","baba"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","baba baba Mama mamba"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","mababa"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","agaba"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","ah"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","ah"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","kaka"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","kaka kaka"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","Mama Dada"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","Mama baba"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","Dada kaka"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","Mama"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","Mama Mama"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","Mama Mama"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","Dada daadaaba"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","Mama Dada Mama madibaba Mama Dada Mama Mama Dada"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","baba"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","kaka ah xxx Dada gigi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","ah aeaeaeae"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","ah"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","gigigi madidi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","madidi xxx"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","kaka"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","madidi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","xxx"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","madimama xxx"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","badidi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","xxx baedidi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","baedidi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","baedidi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","paedidi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","paedidi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","paedidi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","paedidi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","padidii"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","paedidi bababa paedidii"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","babibu"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","babubu"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","xxx"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","giga"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","xxx"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","baba"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","eee baba"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","doida"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","doidah"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","gu"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","dadada"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","af"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","didu didi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","xxx"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","mamababa"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","bthabthabtha"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","bthaebthaebthae"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","a tla"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","dadada"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","Dada"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","dadadada"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","didu didu"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","didu"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","didi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","didi didi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","kaka"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","bwabwabwabwabwa"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","abababababa"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","ah"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","ah"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","tla"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","gaagi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","paedidi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","gaga"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","gaga"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","baba"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","didi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","adidi Dada"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","xxx"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","madidi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","mama dada"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","madi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","madi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","made"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","made"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","Dada"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","Mama"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","guga"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","ah"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","gaga"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","badj I badji"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","badji badji badji"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","badj I badji"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","badji badji"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","badji badji"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","Mama"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","dadadadada"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","dadadadadadadada"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","dadadadadadadada"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","iiiii"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","enen"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","iiii babababababa"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","nanana"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","iiii"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","iiii"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","bad I badi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","badi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","xxx badi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","badibababa"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","bad I badi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","bakii eeeee"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","godji"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","badi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","iiii badi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","badi badi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","Mama"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","eeeee"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","eeeee"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","iiii"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","iiii"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","badi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","iii"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","kaka kaka"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","kakakaka"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","kaka"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","kaka"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","kaka kaka kaka"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","kaka kakakakaka"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","bak"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","a"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","guk"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","ah"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","a"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","Dada"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","xxx"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","baba xxx"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","bah"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","bah"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","bah"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","bah"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","baba"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","baba"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","bah"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","bah"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","bah"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","bah"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","bah"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","bah"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","xxx Dada"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","bah"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","bah"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","bah"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","bah"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","baba baba"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","iiii"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","ahahahaha Dada"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","bah"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","ak"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","didi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","didadidadi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","ah"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","didi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","didi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","dida tla tla tla"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","tla"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","ee"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","gagi"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","hat"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","ummmae"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","ummma"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","ah ah"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","ummua"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","ummmua"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","babababa"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","baba"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","ah"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","a"
"feldman","../XML/US/Feldman_Steven/04.xml.gz","Steven","nan","F","ah"
