"Corpus","Source","Name","CA","Sex","Utterance"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","mm"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","hi"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","let's play dis"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","let's play dis together"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","let's play together"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","ride you up"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","airplane"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","ooom"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","land in duh water"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","yeah"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","yep"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","um he's flying away"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","baby airplane"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","baby"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","baby"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","um he's gone"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","baby"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","oo dere's one"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","yeah"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","dere's another one coming back"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","no no no"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","I show you"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","dere's another one comin back under da trees"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","it's gone"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","it's all gone"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","xxx xxx"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","look at dis Daddy"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","look at dis"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","gwurk"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","gwurk"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","gwurk"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","der going on top"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","der going on top"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","what's dat"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","no what's dis"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","no dat not a monkey"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","yeah"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","yeah just like a gwilla"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","dis one at duh zoo"
"demetras-trevor","../XML/US/Demetras_Trevor/tre01.xml.gz","Trevor","2.07401","M","yeah"
