"Corpus","Source","Name","CA","Sex","Utterance"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","uhhuh"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","a car"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","a boat"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","get another one okay"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","uhhuh mine okay"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","a camel"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","a brown one"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","that's a camel"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","the camel push the boat"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","no I get it backwards"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","how about this"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","uhhuh"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","I don't know"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","he's nice"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","okay"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","alligator"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","he got black eye"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","okay"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","he got a black eye"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","see those toes"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","I'm beside the car"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","uhhuh"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","okay"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","a donkey"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","okay that's a alligator he got a cigar"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","see the alligator"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","okay"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","by the camel"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","a camel and a car"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","put them right there"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","he slipped"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","the alligator slipped too"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","he slipped again get another one okay"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","he falled he falled again"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","I do that"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","he kissed him"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","the alligator kissed the camel"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","he kissed me"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","huh camel kissed me I like him"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","he got yellow feet"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","and toes I don't wan hurt him"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","alligator's crying"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","he kicked alligator"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","uhhuh alligator wan ride in boat"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","we playing a game like to play a game"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","like to play a game"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","I wan pencil okay I wan pencil"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","a red one"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","uhhuh wan another one"
"kuczaj","../XML/US/Kuczaj_Abe/abe001.xml.gz","Abe","2.39912","M","a surprise I wan make a book with monsters don't do that"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","that goes in there"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","I wan poo"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","uhhuh ow"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","I hurt myself"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","uhhuh"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","I poo"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","I poo saw around do that and break it"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","uhhuh I like to go George in Texas"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","what that for"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","Georgie and Porgie pudding and pie make those girls make them cry"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","playing game"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","no"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","I don't want to"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","I don't want those"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","no"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","no"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","uhhuh"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","okay"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","one"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","two three he falled"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","camel pig and the donkey"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","oh no"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","I didn't kick the bucket that's large"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","what's the donkey say"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","heehaw heehaw"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","okay what game"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","I eat my dinner"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","I'm gonna get dry"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","I'm wet"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","uhhuh"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","right here"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","I wan eat popcorn I wan go outside okay Mom"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","peanut sandwiches"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","peanut sandwich"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","what you doing"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","I wan take a bath"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","I wan take a bath"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","no a bath"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","I want peanut cracker"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","what's on tv huh"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","what's on tv"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","what's on tv"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","Daddy turn it on"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","I wan brush it"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","and make a cake"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","and outside"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","and spring board we go swimming we see springboard"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","no"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","a spring board I go swimming and the teacher hold me"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","teacher hold me and you come back"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","I cried"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","look what Jean gotted for me"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","I'm hungry"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","uhhuh"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","I eat dinner you eat dinner you have a bite"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","see Mickey Mouse"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","Cricket"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","potato heads apples"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","I wan another one"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","it's not eat"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","it's not edible"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","shorts more shorts"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","what kind is it"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","uhhuh"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","shorts what's that"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","it's a berry"
"kuczaj","../XML/US/Kuczaj_Abe/abe002.xml.gz","Abe","2.45833","M","I wan go to bed"
"kuczaj","../XML/US/Kuczaj_Abe/abe003.xml.gz","Abe","2.43586","M","uhhuh like them see those donkeys down there"
"kuczaj","../XML/US/Kuczaj_Abe/abe003.xml.gz","Abe","2.43586","M","and what else"
"kuczaj","../XML/US/Kuczaj_Abe/abe003.xml.gz","Abe","2.43586","M","I want to beat you up in the bed"
"kuczaj","../XML/US/Kuczaj_Abe/abe003.xml.gz","Abe","2.43586","M","uhhuh"
"kuczaj","../XML/US/Kuczaj_Abe/abe003.xml.gz","Abe","2.43586","M","I'm gonna beat you up in here"
"kuczaj","../XML/US/Kuczaj_Abe/abe003.xml.gz","Abe","2.43586","M","uhhuh stop it"
"kuczaj","../XML/US/Kuczaj_Abe/abe003.xml.gz","Abe","2.43586","M","stop it"
"kuczaj","../XML/US/Kuczaj_Abe/abe003.xml.gz","Abe","2.43586","M","funny Daddy"
"kuczaj","../XML/US/Kuczaj_Abe/abe003.xml.gz","Abe","2.43586","M","I'm gonna get you"
"kuczaj","../XML/US/Kuczaj_Abe/abe003.xml.gz","Abe","2.43586","M","because"
"kuczaj","../XML/US/Kuczaj_Abe/abe003.xml.gz","Abe","2.43586","M","blow bubbles"
