"Corpus","Source","Name","CA","Sex","Utterance"
"brown","../XML/US/Brown_Adam/adam01.xml.gz","Adam","2.26096","M","play checkers"
"brown","../XML/US/Brown_Adam/adam01.xml.gz","Adam","2.26096","M","big drum"
"brown","../XML/US/Brown_Adam/adam01.xml.gz","Adam","2.26096","M","big drum"
"brown","../XML/US/Brown_Adam/adam01.xml.gz","Adam","2.26096","M","big drum"
"brown","../XML/US/Brown_Adam/adam01.xml.gz","Adam","2.26096","M","big drum"
"brown","../XML/US/Brown_Adam/adam01.xml.gz","Adam","2.26096","M","horse"
"brown","../XML/US/Brown_Adam/adam01.xml.gz","Adam","2.26096","M","who"
"brown","../XML/US/Brown_Adam/adam01.xml.gz","Adam","2.26096","M","two check"
"brown","../XML/US/Brown_Adam/adam01.xml.gz","Adam","2.26096","M","rig horn"
"brown","../XML/US/Brown_Adam/adam01.xml.gz","Adam","2.26096","M","p check"
"brown","../XML/US/Brown_Adam/adam01.xml.gz","Adam","2.26096","M","yep"
"brown","../XML/US/Brown_Adam/adam01.xml.gz","Adam","2.26096","M","big horn"
"brown","../XML/US/Brown_Adam/adam01.xml.gz","Adam","2.26096","M","alright look tv"
"brown","../XML/US/Brown_Adam/adam01.xml.gz","Adam","2.26096","M","part"
"brown","../XML/US/Brown_Adam/adam01.xml.gz","Adam","2.26096","M","part"
"brown","../XML/US/Brown_Adam/adam01.xml.gz","Adam","2.26096","M","part"
"brown","../XML/US/Brown_Adam/adam01.xml.gz","Adam","2.26096","M","part"
"brown","../XML/US/Brown_Adam/adam01.xml.gz","Adam","2.26096","M","part"
"brown","../XML/US/Brown_Adam/adam01.xml.gz","Adam","2.26096","M","ge over Mommy"
"brown","../XML/US/Brown_Adam/adam01.xml.gz","Adam","2.26096","M","nickel"
"brown","../XML/US/Brown_Adam/adam01.xml.gz","Adam","2.26096","M","nickel"
"brown","../XML/US/Brown_Adam/adam01.xml.gz","Adam","2.26096","M","nickel"
"brown","../XML/US/Brown_Adam/adam01.xml.gz","Adam","2.26096","M","nickel"
"brown","../XML/US/Brown_Adam/adam01.xml.gz","Adam","2.26096","M","shadow"
"brown","../XML/US/Brown_Adam/adam01.xml.gz","Adam","2.26096","M","shadow"
"brown","../XML/US/Brown_Adam/adam01.xml.gz","Adam","2.26096","M","shadow"
"brown","../XML/US/Brown_Adam/adam01.xml.gz","Adam","2.26096","M","shadow"
"brown","../XML/US/Brown_Adam/adam01.xml.gz","Adam","2.26096","M","yeah shadow yeah"
