"corpus","name","months","sex","utterance"
"bloom70","Target","20","male","yyy"
"bloom70","Target","20","male","blanket"
"bloom70","Target","20","male","yyy"
"bloom70","Target","20","male","blanket"
"bloom70","Target","20","male","okay"
"bloom70","Target","20","male","door"
"bloom70","Target","20","male","noise"
"bloom70","Target","20","male","bed"
"bloom70","Target","20","male","yyy"
"bloom70","Target","20","male","noise"
"bloom70","Target","20","male","yyy"
"bloom70","Target","20","male","yyy"
"bloom70","Target","20","male","bed"
"bloom70","Target","20","male","horsie"
"bloom70","Target","20","male","yyy"
"bloom70","Target","20","male","bed"
"bloom70","Target","20","male","horsie"
"bloom70","Target","20","male","noise"
"bloom70","Target","20","male","machine"
"bloom70","Target","20","male","hand"
"bloom70","Target","20","male","door"
"bloom70","Target","20","male","noise"
"bloom70","Target","20","male","noise"
"bloom70","Target","20","male","hmm hmm"
"bloom70","Target","20","male","noise"
"bloom70","Target","20","male","noise"
"bloom70","Target","20","male","yyy"
"bloom70","Target","20","male","machine"
"bloom70","Target","20","male","machine"
"bloom70","Target","20","male","sit sit"
"bloom70","Target","20","male","shoes"
"bloom70","Target","20","male","sit"
"bloom70","Target","20","male","shoes"
"bloom70","Target","20","male","shoe"
"bloom70","Target","20","male","noise"
"bloom70","Target","20","male","yyy"
"bloom70","Target","20","male","sit"
"bloom70","Target","20","male","yyy"
"bloom70","Target","20","male","uh uh see"
"bloom70","Target","20","male","pacifier"
"bloom70","Target","20","male","noise"
"bloom70","Target","20","male","uh uh uh uh sit"
"bloom70","Target","20","male","see"
"bloom70","Target","20","male","noise"
"bloom70","Target","20","male","hi"
"bloom70","Target","20","male","sit sit"
"bloom70","Target","20","male","noise"
"bloom70","Target","20","male","hello"
"bloom70","Target","20","male","car"
"bloom70","Target","20","male","oh"
"bloom70","Target","20","male","eh"
"bloom70","Target","20","male","noise"
"bloom70","Target","20","male","door"
"bloom70","Target","20","male","see"
"bloom70","Target","20","male","xxx"
"bloom70","Target","20","male","eh"
"bloom70","Target","20","male","see"
"bloom70","Target","20","male","see"
"bloom70","Target","20","male","uh uh"
"bloom70","Target","20","male","yyy"
"bloom70","Target","20","male","um"
"bloom70","Target","20","male","eh eh eh"
"bloom70","Target","20","male","yyy"
"bloom70","Target","20","male","yyy noise"
"bloom70","Target","20","male","no more"
"bloom70","Target","20","male","yyy"
"bloom70","Target","20","male","ride"
"bloom70","Target","20","male","ride"
"bloom70","Target","20","male","horsie"
"bloom70","Target","20","male","eh"
"bloom70","Target","20","male","eh"
"bloom70","Target","20","male","eh"
"bloom70","Target","20","male","eh"
"bloom70","Target","20","male","eh"
"bloom70","Target","20","male","eh"
"bloom70","Target","20","male","eh eh"
"bloom70","Target","20","male","eh eh"
"bloom70","Target","20","male","yyy"
"bloom70","Target","20","male","where are you going"
"bloom70","Target","20","male","where are you going"
"bloom70","Target","20","male","yyy"
"bloom70","Target","20","male","cookie"
"bloom70","Target","20","male","yyy"
"bloom70","Target","20","male","yyy noise"
