"corpus","name","months","sex","utterance"
"braunwald","Laura","17","None","uhh"
"braunwald","Laura","17","None","uh"
"braunwald","Laura","17","None","ehh"
"braunwald","Laura","17","None","here"
"braunwald","Laura","17","None","uh"
"braunwald","Laura","17","None","huh"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","get"
"braunwald","Laura","17","None","yeah"
"braunwald","Laura","17","None","eh"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","n"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","Dad"
"braunwald","Laura","17","None","Mummy"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","more"
"braunwald","Laura","17","None","eye"
"braunwald","Laura","17","None","nose"
"braunwald","Laura","17","None","eye"
"braunwald","Laura","17","None","maa"
"braunwald","Laura","17","None","maa"
"braunwald","Laura","17","None","bowwow"
"braunwald","Laura","17","None","bowwow"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","uh uh"
"braunwald","Laura","17","None","uhhuh"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","cup"
"braunwald","Laura","17","None","um"
"braunwald","Laura","17","None","be"
"braunwald","Laura","17","None","Shower"
"braunwald","Laura","17","None","Dwww"
"braunwald","Laura","17","None","lo"
"braunwald","Laura","17","None","lo"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","gram"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","gram"
"braunwald","Laura","17","None","pillow"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","lo"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","on"
"braunwald","Laura","17","None","on"
"braunwald","Laura","17","None","Daddy"
"braunwald","Laura","17","None","crying"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","Daddy's"
"braunwald","Laura","17","None","oh ow"
"braunwald","Laura","17","None","ohoh"
"braunwald","Laura","17","None","ohoh"
